code,salary
A1,78143
A2,82573
A3,87001
A4,91441
A5,95047
A6,98645
A7,101704
A8,105305
B1,110856
B2,115010
B3,119170
B4,123329
B5,127478
B6,131639
C1,135793
C2,139951
C3,144103
C4,148264
C5,152415
C6,156579
D1,163505
D2,169048
D3,174590
D4,180128
E,210617
HEO1.1,56459
HEO1.2,57625
HEO1.3,58799
HEO2.1,60550
HEO2.2,62306
HEO3.1,63473
HEO3.2,65216
HEO3.3,66971
HEO3.4,68732
HEO3.5,70482
HEO4.1,72234
HEO4.2,73989
HEO4.3,76323
HEO5.1,78077
HEO5.2,80413
HEO5.3,82743
HEO5.4,85086
HEO5.5,87420
HEO6.1,89759
HEO6.2,92092
HEO6.3,94431
HEO6.4,96764
HEO7.1,97975
HEO7.2,100896
HEO7.3,103822
HEO7.4,106738
HEO8.1,109663
HEO8.2,113161
HEO8.3,116671
HEO8.4,120172
HEO8.5,123674
HEO9.1,127176
HEO9.2,130687
HEO9.3,134190
HEO10,135944
